Option,Config path,Typed?,Default (reference.conf),Disposition,Comment
METRICS_NODE_CQL_MESSAGES_SLO,advanced.metrics.node.cql-messages.slo,1,,T2,metrics bridged from the Rust core in T2
PREPARED_CACHE_WEAK_VALUES,advanced.prepared-statements.prepared-cache.weak-values,1,,,
REQUEST_TRACKER_CLASSES,advanced.request-tracker.classes,1,,,
METADATA_NODE_STATE_LISTENER_CLASSES,advanced.node-state-listener.classes,1,,,
METADATA_SCHEMA_CHANGE_LISTENER_CLASSES,advanced.schema-change-listener.classes,1,,,
METRICS_SESSION_CQL_REQUESTS_PUBLISH_PERCENTILES,advanced.metrics.session.cql-requests.publish-percentiles,1,,T2,metrics bridged from the Rust core in T2
METRICS_NODE_CQL_MESSAGES_PUBLISH_PERCENTILES,advanced.metrics.node.cql-messages.publish-percentiles,1,,T2,metrics bridged from the Rust core in T2
METRICS_SESSION_THROTTLING_PUBLISH_PERCENTILES,advanced.metrics.session.throttling.delay.publish-percentiles,1,,T2,metrics bridged from the Rust core in T2
METRICS_GENERATE_AGGREGABLE_HISTOGRAMS,advanced.metrics.histograms.generate-aggregable,1,true,T2,metrics bridged from the Rust core in T2
SSL_KEYSTORE_RELOAD_INTERVAL,advanced.ssl-engine-factory.keystore-reload-interval,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
LOAD_BALANCING_DC_FAILOVER_PREFERRED_REMOTE_DCS,advanced.load-balancing-policy.dc-failover.preferred-remote-dcs,1,"[""""]",,
LOAD_BALANCING_DEFAULT_LWT_REQUEST_ROUTING_METHOD,advanced.load-balancing-policy.default-lwt-request-routing-method,1,"""PRESERVE_REPLICA_ORDER""",,
CLIENT_ROUTES_ENDPOINTS,advanced.client-routes.endpoints,1,,,
CLIENT_ROUTES_NATIVE_TRANSPORT_PORT,advanced.client-routes.native-transport-port,1,9042,,
CLIENT_ROUTES_SHARD_AWARENESS_ENABLED,advanced.client-routes.shard-awarness-enabled,1,false,,
SSL_ALLOW_DNS_REVERSE_LOOKUP_SAN,advanced.ssl-engine-factory.allow-dns-reverse-lookup-san,1,,reinterpreted,"TLS terminated by the Rust stack, not JSSE"
REQUEST_ID_GENERATOR_CLASS,advanced.request-id.generator.class,1,,,
ADDRESS_TRANSLATOR_ADVERTISED_HOSTNAME,advanced.address-translator.advertised-hostname,1,,,
ADDRESS_TRANSLATOR_SUBNET_ADDRESSES,advanced.address-translator.subnet-addresses,1,,,
ADDRESS_TRANSLATOR_DEFAULT_ADDRESS,advanced.address-translator.default-address,1,,,
ADDRESS_TRANSLATOR_RESOLVE_ADDRESSES,advanced.address-translator.resolve-addresses,1,,,
DRIVER_CONFIG_REPORTING_ENABLED,advanced.driver-config-reporting.enabled,1,true,,
APPLICATION_NAME,basic.application.name,1,,,
APPLICATION_VERSION,basic.application.version,1,,,
